Profit: -0.32689781476656776, Difference: 0.03258727500998759
Profit: -0.4171292494987995, Difference: 0.040204643620910474
Profit: -0.5624603763409226, Difference: 0.06692341112774614
Profit: -0.44606226493209533, Difference: -0.15676500623858658
Profit: -0.31593535127177574, Difference: -0.11993285555968214
Profit: -0.21747861178032224, Difference: -0.008415146070618107
Profit: -0.24416492996311945, Difference: -0.01034764163358659
Profit: -0.25845125170184247, Difference: 0.008508379395664178
Profit: -0.4281250555784766, Difference: 0.04871840366547531
Profit: -0.5276438538304973, Difference: 0.09680088983382973
Profit: -0.28658216326597596, Difference: -0.020591333380437504
Profit: -0.276343338034593, Difference: -0.08627198617362808
Profit: -0.382799734199466, Difference: -0.06604655577285712
Profit: -0.3784234661564625, Difference: 0.01411475752637159
Profit: -0.27208169797869175, Difference: 0.001894011683731378
Profit: -0.6090545919079915, Difference: 0.20570205148897003
Profit: -0.34901127667035325, Difference: -0.01774313837729835
Profit: -0.2508317985576838, Difference: -0.010624904834202198
Profit: -0.6944895886853146, Difference: -0.048075147411537955
Profit: -0.41587260878007726, Difference: 0.14156295600825786
Profit: -0.6350684560807451, Difference: 0.14931218005780522
Profit: -0.24277750613798332, Difference: -0.05517852751606256
Profit: -0.4746042882874093, Difference: 0.055873346701005744
Profit: -0.43284712792166147, Difference: 0.055521327862791736
Profit: -0.33661423674180924, Difference: 0.03819580343525786
Profit: -0.46664288336010884, Difference: -0.031829892832035966
Profit: -0.39451493032814255, Difference: 0.25723827113931463
Profit: -0.28210859562763346, Difference: -0.26178452705113386
Profit: -0.5212246752182637, Difference: 0.06330284219511384
Profit: -0.6209907382141608, Difference: 0.06389517208808115
Profit: -0.29042739096188086, Difference: 0.019168211160703663
Profit: -0.28866751584497763, Difference: -0.012970216762383302
Profit: -0.3706315778359226, Difference: -0.02021392903071728
Profit: -0.3227062907649554, Difference: 0.012449246088721111
Profit: -0.3083168500264861, Difference: 0.009381482698913146
Profit: -0.3224786841701217, Difference: -0.03826524722138913
Profit: -0.5213502966087304, Difference: 0.03788560926933826
Profit: -0.2768297129889987, Difference: -0.019787017833536424
Profit: -0.38091939942476927, Difference: 0.0026081534027326825
Profit: -0.2380329995296364, Difference: -0.04077088038647503
Profit: -0.4461492728909491, Difference: 0.056123953197811716
